lsoa,names,unemployment_rate,work_popu_rate,population_density,couple_household_with_dependent_children,couple_household_without_dependent_children,lone_parent_household,one_person_household,other_multi_person_household,ethnic_white,ethnic_mixed_multiple,ethnic_asian_asian_british,ethnic_black,ethnic_other,ethnic_bame,country_of_birthc_uk,country_of_birthc_nuk,religionc_christian,religionc_buddhist,religionc_hindu,religionc_jewish,religionc_muslim,religionc_sikh,religionc_other_religion,religionc_no_religion,religionc_religion_not_stated,tenurec_owned_outright,tenurec_owned_with_a_mortgage_or_loan,tenurtc_social_rented,tenurec_private_rented,dwelling_typec_household_spaces_with_at_least_one_usual_resident,dwelling_typec_household_spaces_with_no_usual_residents,dwelling_type_detached,dwelling_type_semi_detached,dwelling_type_terraced,dwelling_type_flat,house_prices,no_qualifications,level1_qualifications,level2_qualifications,apprenticeship,level3_qualifications,level4_qualifications_and_above,other_qualifications,over_18_students,health_activities_limited,health_activities_limited_a_little,health_activities_not_limited,good_health,fair_health,bad_health,nocars,1car,2cars,3cars,4+_cars,cars_per_household,transport_accessibility,household_income
E01002914,Kensington and Chelsea 019E,2.80,65.92,17.80,13.10,24.60,5.50,46.40,10.40,86.10,2.50,7.40,1.10,2.90,13.90,50.00,50.00,63.20,1.10,0.60,2.80,3.60,0.10,0.30,19.30,9.00,37.90,11.60,2.00,44.50,83.50,16.50,2.40,6.90,33.10,57.60,1130000.00,5.70,3.70,10.70,1.00,8.60,57.90,12.50,5.60,6.10,4.30,89.60,88.30,8.40,3.30,49.40,34.50,12.80,1.90,1.30,0.70,6.70,61381
E01002838,Kensington and Chelsea 020A,3.50,83.32,7.00,13.10,22.10,5.20,50.10,9.50,77.30,2.70,16.10,1.20,2.80,22.70,47.70,52.30,50.10,1.70,2.60,1.50,3.60,0.40,0.40,29.90,9.70,30.60,12.60,5.40,45.80,83.90,16.10,0.60,3.20,14.60,81.60,1026000.00,2.10,1.90,6.80,0.30,33.40,41.40,14.10,40.90,1.70,3.20,95.10,93.50,5.30,1.20,45.40,40.90,12.80,0.70,0.20,0.70,6.60,60286
E01002895,Kensington and Chelsea 020B,2.20,67.60,10.90,18.50,25.40,5.60,36.90,13.60,89.60,2.20,4.50,1.60,2.10,10.40,52.70,47.30,60.40,1.40,0.40,4.50,2.40,0.00,0.20,18.90,11.70,39.30,18.00,3.10,34.40,87.50,12.50,3.90,8.80,32.40,54.90,1237500.00,4.00,2.50,8.80,0.30,9.10,63.00,12.30,5.20,2.20,3.10,94.70,93.90,4.60,1.50,39.30,37.70,18.90,3.30,0.80,0.90,4.50,71831
E01002896,Kensington and Chelsea 020C,2.70,76.20,11.40,14.70,21.50,3.80,44.20,15.80,82.80,5.10,7.60,1.00,3.40,17.20,46.50,53.50,61.80,1.50,0.80,2.40,4.40,0.30,0.20,20.30,8.30,30.90,21.10,4.70,40.80,89.40,10.60,0.70,6.20,10.40,82.60,765000.00,3.80,3.80,6.10,0.50,9.30,65.70,10.80,6.60,1.70,3.70,94.70,93.90,5.00,1.10,45.90,41.60,10.10,1.90,0.50,0.70,6.10,59835
E01002897,Kensington and Chelsea 020D,5.00,78.77,14.30,8.20,20.80,7.00,48.90,15.20,79.60,3.70,7.20,2.30,7.20,20.40,53.10,46.90,54.00,1.40,0.60,1.60,6.60,0.20,0.20,23.90,11.60,23.90,17.50,11.20,45.80,94.20,5.80,1.00,1.40,16.00,81.60,400000.00,6.40,4.30,7.20,0.40,12.70,56.50,12.40,9.40,5.50,6.20,88.40,87.10,8.40,4.60,54.90,35.20,7.70,1.60,0.50,0.60,5.40,40129
E01002912,Kensington and Chelsea 020E,4.40,69.82,11.20,10.50,19.30,7.70,45.40,17.20,81.10,4.30,7.40,3.50,3.80,18.90,54.60,45.40,62.50,1.00,1.40,1.80,4.60,0.10,0.20,20.20,8.30,26.30,14.20,20.10,37.20,92.70,7.30,1.50,5.40,11.30,81.80,765000.00,7.90,4.50,8.40,0.50,9.30,58.10,11.40,5.30,7.90,5.40,86.70,86.40,9.10,4.50,50.90,38.60,8.90,1.20,0.40,0.60,5.00,51175
E01002840,Kensington and Chelsea 021A,11.70,62.69,8.90,10.30,14.60,17.50,44.60,13.00,64.90,7.80,10.60,7.60,9.20,35.10,61.70,38.30,55.00,1.20,1.00,0.90,16.40,0.10,0.30,17.30,7.80,24.30,7.20,51.50,13.70,95.60,4.40,1.70,2.10,3.90,86.60,495000.00,23.50,9.40,9.20,1.10,9.50,33.90,13.30,5.80,11.50,11.20,77.30,72.70,18.40,8.80,64.40,30.20,4.50,0.70,0.10,0.40,4.90,29271
E01002841,Kensington and Chelsea 021B,8.80,77.27,11.10,11.50,16.70,9.80,49.60,12.40,74.20,6.70,7.30,6.70,5.10,25.80,59.40,40.60,57.40,2.50,0.70,1.00,8.20,0.10,0.40,19.10,10.70,18.10,20.90,29.50,28.40,96.50,3.50,1.20,4.30,19.10,75.20,680000.00,12.20,9.50,10.90,1.10,12.00,41.20,13.20,5.80,7.50,8.00,84.60,82.50,12.10,5.50,52.40,38.30,8.00,1.10,0.10,0.60,4.20,36951
E01002842,Kensington and Chelsea 021C,14.60,64.33,1.80,15.80,11.30,21.60,36.40,15.00,45.80,7.70,19.40,10.90,16.20,54.20,50.50,49.50,43.80,2.20,0.60,0.10,34.00,0.20,0.50,11.20,7.60,7.20,5.40,80.00,6.60,99.00,1.00,0.00,0.60,0.40,99.00,299950.00,24.20,9.90,14.50,0.60,10.40,24.40,16.00,6.00,13.50,10.30,76.20,72.50,16.10,11.40,70.00,26.80,2.50,0.60,0.00,0.30,4.50,20918
E01002843,Kensington and Chelsea 021D,9.70,69.40,6.70,10.50,13.90,18.70,45.70,11.10,57.60,8.70,10.80,14.00,8.90,42.40,57.90,42.10,55.20,0.80,0.60,0.40,18.10,0.10,0.30,16.00,8.50,7.70,7.50,71.80,10.50,95.30,4.70,1.30,0.60,2.00,96.10,472500.00,18.60,10.20,12.30,1.20,11.10,33.90,12.70,5.60,11.90,10.20,77.90,74.60,15.30,10.10,64.90,30.70,4.10,0.30,0.00,0.40,5.10,28709
E01002913,Kensington and Chelsea 021E,5.70,74.76,10.90,12.40,20.50,7.40,45.10,14.60,71.90,5.00,10.90,5.30,6.80,28.10,49.70,50.30,57.10,1.40,1.90,2.10,8.90,0.10,0.30,19.20,9.00,22.60,18.50,15.50,40.80,86.50,13.50,0.90,4.80,13.60,80.40,732500.00,9.00,5.80,8.90,0.40,9.90,52.90,13.00,7.30,5.20,5.00,89.80,88.40,6.80,4.90,47.10,42.40,8.30,1.90,0.30,0.70,5.20,42040
E01003015,Lambeth 002A,11.40,72.52,9.60,10.10,15.20,17.50,39.60,17.50,48.90,9.60,7.00,30.40,4.10,51.10,59.00,41.00,55.80,1.20,0.20,0.20,9.50,0.00,0.40,22.60,10.20,7.70,10.00,63.00,17.90,96.60,3.40,0.50,1.70,7.90,89.80,258475.00,22.50,11.50,9.70,0.50,9.20,37.30,9.30,11.90,7.10,8.30,84.60,79.90,14.70,5.50,67.90,28.40,2.90,0.50,0.30,0.40,6.00,27174
E01003108,Lambeth 002B,10.40,69.84,8.00,10.30,12.60,17.10,46.00,14.00,50.00,9.50,6.20,32.00,2.40,50.00,58.80,41.20,57.30,0.60,0.70,0.40,7.90,0.00,0.70,23.20,9.20,10.20,13.10,55.80,18.70,94.70,5.30,0.80,3.00,2.80,93.50,225000.00,19.90,10.50,8.70,1.50,9.40,39.10,10.90,6.70,8.40,8.60,83.10,80.00,12.70,7.30,70.20,26.80,2.50,0.40,0.10,0.30,6.90,28605
E01003110,Lambeth 002C,4.40,76.72,15.10,8.80,22.00,10.20,38.30,20.60,71.40,6.10,6.00,15.10,1.40,28.60,72.90,27.10,49.80,1.50,1.20,0.70,4.40,0.10,0.50,32.50,9.30,16.70,26.30,29.30,21.70,94.50,5.50,1.00,3.20,38.20,57.50,357500.00,12.30,6.70,7.30,1.20,8.60,58.80,5.00,7.10,6.50,6.60,87.00,85.90,10.00,4.20,57.10,35.60,5.50,1.50,0.20,0.50,6.90,45666
E01003111,Lambeth 002D,14.70,67.45,7.40,11.30,13.00,22.40,37.90,15.40,39.00,6.50,9.00,42.20,3.30,61.00,50.60,49.40,59.40,1.00,0.80,0.00,10.50,0.00,0.50,19.70,8.10,5.30,10.20,73.50,9.90,96.50,3.50,0.20,0.80,1.10,98.00,252075.00,28.50,11.70,12.80,2.40,8.70,24.20,11.70,7.80,8.80,9.90,81.40,78.40,14.60,7.00,73.80,21.60,3.10,0.90,0.50,0.30,4.60,23381
E01003112,Lambeth 002E,8.80,75.63,14.90,7.30,13.20,14.40,50.60,14.50,50.30,6.30,9.30,30.40,3.70,49.70,56.60,43.40,48.60,0.80,1.60,0.10,12.40,0.00,0.60,24.70,11.20,8.90,15.80,54.00,18.80,91.70,8.30,0.70,1.20,7.10,91.00,353000.00,20.00,10.60,10.80,1.40,10.80,37.10,9.30,11.80,8.00,8.90,83.20,80.30,12.50,7.20,66.90,28.10,3.10,1.60,0.30,0.40,5.40,29108
E01003101,Lambeth 003A,6.30,77.30,11.60,9.90,18.00,16.50,32.00,23.60,58.20,8.10,6.10,24.90,2.70,41.80,59.40,40.60,51.30,1.10,0.20,0.30,7.10,0.10,0.60,31.20,7.90,6.00,14.30,46.10,32.10,97.90,2.10,0.00,1.00,3.00,96.00,235000.00,15.10,8.90,8.90,0.80,8.00,48.50,9.70,9.20,4.40,6.20,89.40,85.80,10.00,4.10,68.80,26.60,4.50,0.10,0.00,0.40,7.70,31666
E01003105,Lambeth 003B,8.20,71.31,9.60,8.70,15.30,18.20,42.10,15.80,48.50,7.70,8.20,32.10,3.40,51.50,59.60,40.40,56.50,1.10,0.60,0.50,11.30,0.10,1.10,21.90,7.10,6.50,14.40,57.40,13.60,97.40,2.60,0.60,0.50,5.00,93.80,260000.00,18.60,10.20,10.30,1.20,9.10,40.80,9.90,9.60,8.70,8.10,83.30,81.10,12.90,6.00,69.50,26.40,3.60,0.40,0.10,0.40,6.20,28958
E01003106,Lambeth 003C,7.10,73.80,11.90,11.10,19.20,15.90,35.60,18.20,64.20,6.50,4.50,22.40,2.40,35.80,69.00,31.00,53.60,0.80,0.50,0.70,4.90,0.10,0.40,29.50,9.70,12.50,14.80,43.40,19.90,96.70,3.30,0.80,1.60,15.70,81.80,378000.00,11.20,7.10,9.90,0.90,9.10,54.70,6.90,7.80,5.90,6.40,87.80,86.60,8.80,4.60,59.70,34.40,5.60,0.20,0.10,0.50,5.60,39002
E01003107,Lambeth 003D,5.10,80.28,13.00,8.00,21.40,10.50,38.50,21.50,69.80,7.00,5.80,15.60,1.80,30.20,66.40,33.60,49.40,0.90,0.30,0.60,3.50,0.10,0.40,36.70,8.20,14.20,25.20,26.60,30.20,96.20,3.80,0.50,2.70,21.90,74.80,470000.00,9.20,5.80,7.30,0.50,7.70,62.90,6.60,7.20,4.10,5.10,90.80,88.10,8.60,3.30,59.00,34.30,5.50,0.50,0.60,0.50,7.10,48204
E01003109,Lambeth 003E,8.60,76.05,26.60,8.70,16.20,16.10,42.00,17.00,53.30,8.20,8.40,25.90,4.20,46.70,55.20,44.80,51.50,1.40,0.90,0.40,10.60,0.00,0.50,25.60,9.00,7.50,13.00,48.10,24.70,90.20,9.80,0.80,0.60,2.30,96.30,355000.00,16.10,8.70,9.00,1.00,9.60,44.00,11.60,10.20,7.10,6.30,86.50,83.90,10.50,5.60,70.80,24.50,4.20,0.40,0.10,0.30,7.10,30233
E01003102,Lambeth 004A,7.20,81.01,16.60,7.70,17.80,7.00,45.40,22.20,68.90,5.90,8.80,13.40,2.90,31.10,56.40,43.60,48.20,1.50,0.90,0.50,4.20,0.10,0.90,35.80,7.90,8.90,17.40,36.80,34.10,97.10,2.90,1.40,3.10,12.10,83.40,367000.00,10.10,6.50,7.70,0.60,10.00,56.60,8.60,7.30,7.70,7.10,85.20,83.50,11.40,5.10,67.90,27.80,3.60,0.70,0.00,0.40,7.80,39223
E01003104,Lambeth 004C,4.70,82.21,8.20,6.90,19.00,8.20,39.50,26.30,64.70,6.70,7.30,17.60,3.70,35.30,53.70,46.30,51.50,1.50,1.30,0.40,5.80,0.00,0.80,31.20,7.50,10.60,19.80,21.50,45.90,93.20,6.80,0.80,1.70,10.30,87.20,310500.00,9.50,6.40,7.30,1.10,11.20,52.20,12.40,10.10,4.90,7.30,87.70,86.40,9.80,3.80,69.90,25.60,4.10,0.40,0.00,0.40,6.70,32693
E01003122,Lambeth 004D,7.00,80.58,10.30,6.90,17.60,12.40,40.50,22.60,59.60,5.90,7.40,23.10,4.10,40.40,57.50,42.50,50.00,1.50,0.20,0.40,9.80,0.10,0.50,28.40,9.20,9.90,20.90,35.10,29.20,94.00,6.00,2.10,2.60,11.10,84.20,370000.00,12.00,7.10,8.40,1.00,8.30,50.70,12.50,8.90,5.00,6.30,88.70,86.00,9.80,4.20,66.60,30.10,2.80,0.50,0.10,0.40,3.50,31421
E01003129,Lambeth 004E,7.40,80.86,8.60,7.10,24.80,12.60,32.20,23.40,63.70,6.50,7.10,20.10,2.60,36.30,54.90,45.10,53.50,1.00,0.90,0.30,4.80,0.10,0.70,30.90,7.80,10.60,16.20,26.90,44.20,98.10,1.90,1.60,2.20,16.40,79.90,290000.00,11.10,7.00,8.20,1.10,11.50,49.20,12.00,8.70,3.70,5.60,90.70,87.50,9.00,3.50,65.60,28.10,5.20,0.70,0.40,0.40,5.20,33700
E01033207,Lambeth 004F,9.00,72.60,24.20,9.80,13.70,13.40,43.30,19.70,61.90,6.40,5.30,23.70,2.60,38.10,59.30,40.70,55.50,1.40,0.80,0.10,6.80,0.00,0.40,25.80,9.30,9.40,14.10,54.80,20.90,96.60,3.40,1.60,3.30,15.50,79.60,295000.00,22.80,8.50,9.90,1.50,8.30,38.10,10.90,7.40,11.90,9.10,79.00,76.80,15.70,7.50,66.80,28.50,3.50,1.20,0.00,0.40,6.50,30716
E01033208,Lambeth 004G,5.30,86.30,5.00,6.30,19.20,7.50,54.30,12.80,57.50,6.80,16.20,13.70,5.70,42.50,49.90,50.10,44.30,2.30,2.90,0.50,11.70,0.20,0.80,29.30,8.10,12.00,12.30,19.50,37.10,88.20,11.80,0.30,0.20,0.30,99.10,600000.00,6.00,4.30,7.30,0.50,9.90,62.10,9.80,14.40,3.70,4.10,92.30,90.10,7.20,2.70,69.40,26.40,3.40,0.60,0.20,0.40,7.90,40891
E01003098,Lambeth 005A,7.50,72.72,8.00,13.50,19.20,12.20,34.00,21.10,62.40,5.30,5.10,25.40,1.90,37.60,59.00,41.00,53.30,0.60,0.80,0.40,8.60,0.10,0.80,27.10,8.40,18.10,19.10,36.10,25.30,97.30,2.70,0.90,3.00,24.60,71.50,670000.00,14.40,8.10,7.40,1.00,9.80,50.40,8.90,8.20,5.60,6.20,88.30,86.60,8.80,4.60,57.70,34.70,5.90,1.20,0.50,0.50,5.40,33896
E01003099,Lambeth 005B,6.00,77.42,30.40,10.10,15.50,15.50,30.50,28.50,58.30,8.20,6.90,23.60,3.00,41.70,59.10,40.90,52.50,0.60,0.60,0.30,6.20,0.10,0.50,31.50,7.70,8.60,17.00,37.50,35.30,96.00,4.00,1.20,1.70,8.10,89.00,247500.00,14.00,8.20,8.60,0.70,10.50,49.30,8.70,10.60,5.20,6.00,88.80,85.20,10.50,4.30,68.00,28.20,3.30,0.30,0.20,0.40,7.60,30907
E01003100,Lambeth 005C,3.10,90.42,10.20,5.60,24.60,4.90,28.20,36.70,77.40,6.80,4.40,7.90,3.40,22.60,62.60,37.40,43.20,0.70,0.70,0.50,2.90,0.30,1.00,42.40,8.40,10.60,20.80,11.60,55.70,97.20,2.80,0.20,0.90,9.90,89.00,271250.00,6.00,3.80,3.30,0.50,7.80,69.40,9.20,7.70,2.80,4.00,93.20,92.40,5.60,2.00,70.00,26.50,3.10,0.30,0.00,0.30,6.30,45666
E01003180,Lambeth 005D,9.00,76.69,14.10,9.50,15.90,15.60,39.40,19.60,51.70,9.20,4.70,31.20,3.20,48.30,61.20,38.80,51.30,1.00,0.30,0.30,6.40,0.50,0.40,30.60,9.10,9.20,21.50,47.40,21.00,96.80,3.20,2.30,7.00,28.10,62.60,347500.00,14.50,7.00,10.60,1.30,11.00,46.20,9.30,9.30,6.20,8.70,85.10,83.80,10.80,5.40,58.20,33.40,7.90,0.60,0.00,0.50,3.40,32488
E01003183,Lambeth 005E,10.20,75.03,15.20,9.50,14.70,18.40,37.60,19.80,46.90,7.90,7.10,35.80,2.30,53.10,60.60,39.40,55.10,1.10,0.30,0.70,7.70,0.00,0.30,26.40,8.30,4.60,15.20,60.70,16.80,94.20,5.80,3.60,7.90,23.90,64.60,394620.00,18.60,12.10,10.00,1.30,10.50,39.00,8.60,10.20,8.30,9.50,82.20,79.70,12.40,7.90,62.80,31.40,5.10,0.60,0.20,0.40,5.30,28080
E01003097,Lambeth 006A,8.90,72.29,9.80,9.40,18.00,17.50,35.40,19.80,55.50,6.30,8.40,26.50,3.40,44.50,56.70,43.30,59.80,1.20,1.00,0.10,7.10,0.40,0.30,21.10,9.00,5.10,12.80,60.40,19.50,98.80,1.20,1.40,2.50,13.00,83.20,248750.00,22.50,12.50,9.50,1.60,9.40,31.10,13.50,11.10,7.90,10.30,81.80,79.80,13.50,6.60,70.70,25.60,3.50,0.30,0.00,0.30,5.90,25979
E01003121,Lambeth 006B,13.70,69.70,6.20,15.10,10.30,24.00,34.90,15.80,39.30,10.00,4.10,44.30,2.20,60.70,55.10,44.90,61.90,0.80,0.10,0.20,9.30,0.10,0.70,17.70,9.30,3.30,8.70,74.70,12.30,99.30,0.70,0.10,0.10,1.00,98.70,215000.00,22.80,11.20,14.30,1.60,10.70,24.40,14.90,9.00,7.50,7.60,84.90,79.60,14.20,6.20,68.60,26.30,4.50,0.40,0.10,0.40,4.50,24599
E01003123,Lambeth 006C,6.10,80.12,14.50,12.90,25.80,10.00,31.50,19.90,75.80,6.30,4.00,12.60,1.30,24.20,63.60,36.40,48.30,1.20,0.30,0.80,3.40,0.10,1.00,35.30,9.70,18.00,26.60,23.90,29.30,96.30,3.70,2.80,9.20,19.50,68.50,346000.00,8.30,4.70,8.40,1.00,8.40,58.70,10.50,5.20,3.60,5.70,90.70,88.90,8.80,2.30,56.10,33.40,8.50,1.20,0.90,0.60,5.20,45477
E01003124,Lambeth 006D,7.40,76.59,8.10,11.00,20.00,13.70,34.10,21.20,60.90,6.90,6.40,22.80,3.00,39.10,50.20,49.80,56.00,1.10,0.60,0.20,8.00,0.10,0.60,25.30,8.20,8.70,12.60,43.10,33.90,97.80,2.20,1.60,2.70,9.80,85.90,231000.00,17.70,9.40,9.90,0.70,8.60,38.70,15.00,10.00,6.80,6.20,87.00,84.10,10.90,4.90,69.50,26.80,2.70,0.80,0.20,0.40,5.70,28051
E01003125,Lambeth 006E,13.20,65.21,7.30,14.20,12.30,27.50,28.90,17.20,39.00,7.50,7.80,40.20,5.40,61.00,52.30,47.70,60.30,2.40,0.10,0.30,13.00,0.10,0.10,14.60,9.10,5.30,10.00,67.60,14.50,98.60,1.40,0.90,0.90,0.90,97.40,191000.00,24.00,12.00,12.80,0.90,9.10,25.40,15.90,10.20,7.30,7.80,84.80,81.80,12.10,6.00,68.20,28.30,3.20,0.30,0.00,0.40,5.60,22771
E01003181,Lambeth 007A,9.00,75.14,8.10,7.50,16.60,18.90,33.90,23.10,51.50,9.00,7.00,28.70,3.90,48.50,60.40,39.60,50.50,2.00,0.70,0.10,6.70,0.10,0.70,31.70,7.50,4.00,17.90,51.40,24.70,98.60,1.40,2.30,3.50,9.60,84.50,295000.00,17.80,11.20,12.00,0.70,8.00,41.30,9.00,7.50,9.20,9.00,81.80,80.10,13.00,6.90,67.90,28.70,3.00,0.50,0.00,0.40,5.70,29053
E01003184,Lambeth 007B,15.20,66.41,5.60,13.10,8.00,27.80,36.00,15.00,30.40,8.90,5.50,51.70,3.50,69.60,54.80,45.20,63.90,2.10,0.50,0.10,9.50,0.10,0.40,15.30,8.10,1.00,9.00,77.80,10.90,97.70,2.30,0.80,0.50,2.20,96.30,205000.00,24.60,12.50,14.40,1.10,12.40,24.20,10.90,12.00,7.40,7.80,84.90,81.30,13.20,5.50,71.00,25.30,3.20,0.00,0.50,0.40,4.90,22330
E01003185,Lambeth 007C,7.60,78.13,8.80,8.60,15.80,11.20,35.50,28.90,59.60,7.80,4.70,23.30,4.60,40.40,63.30,36.70,50.40,0.90,0.40,0.30,6.90,0.10,0.50,31.90,8.60,6.10,18.50,43.40,31.20,96.60,3.40,0.80,2.50,3.60,93.10,305000.00,12.20,7.00,7.90,1.10,8.90,52.50,10.20,8.00,7.40,7.30,85.30,83.80,9.50,6.70,70.40,26.70,2.20,0.50,0.10,0.30,5.20,32095
E01003186,Lambeth 007D,6.30,80.80,20.90,11.50,18.60,11.00,32.20,26.70,64.10,7.10,5.70,20.70,2.30,35.90,66.00,34.00,49.80,0.80,0.30,0.10,4.40,0.10,0.50,36.60,7.50,11.30,18.80,33.10,34.40,98.20,1.80,3.30,9.40,8.20,79.10,332500.00,8.70,7.70,8.40,0.70,10.50,55.70,8.30,8.90,4.30,5.90,89.80,88.00,8.30,3.70,57.90,34.70,6.20,1.10,0.10,0.50,5.30,39476
E01003187,Lambeth 007E,13.80,76.33,14.20,8.60,10.90,23.60,40.10,16.80,29.50,8.30,6.00,53.30,3.00,70.50,53.30,46.70,61.90,0.70,0.20,0.10,9.00,0.10,0.60,18.20,9.20,4.60,16.10,66.50,12.60,92.30,7.70,4.00,8.10,14.50,73.20,220000.00,16.90,11.90,14.50,0.90,13.40,30.90,11.50,13.00,7.90,7.90,84.20,79.20,13.70,7.10,62.10,31.90,4.80,0.30,0.80,0.50,3.00,25861
E01003089,Lambeth 008A,10.00,75.35,13.30,13.50,9.70,25.00,28.40,23.40,42.10,7.20,8.50,37.40,4.80,57.90,44.90,55.10,59.20,0.70,0.30,0.20,12.10,0.00,0.70,19.00,7.80,6.20,14.20,55.20,23.40,98.40,1.60,0.90,2.40,1.60,95.10,207000.00,18.30,11.90,12.40,1.20,10.80,30.70,14.70,13.00,4.70,6.10,89.20,86.00,10.40,3.60,65.50,30.50,3.60,0.40,0.00,0.40,4.00,25257
E01003091,Lambeth 008B,8.20,74.33,8.00,12.40,14.80,19.50,27.20,26.00,54.50,8.60,8.90,25.60,2.30,45.50,58.00,42.00,53.80,2.40,0.20,0.10,6.20,0.10,0.50,29.30,7.30,8.10,18.60,41.50,30.20,98.20,1.80,1.00,1.30,7.40,90.30,245000.00,14.80,7.80,10.00,0.80,10.40,44.80,11.50,9.70,4.60,5.60,89.80,87.80,8.20,4.00,61.70,34.70,3.10,0.30,0.10,0.40,4.00,30236
E01003092,Lambeth 008C,11.60,71.24,15.80,12.40,14.60,21.20,31.80,19.90,49.30,6.70,7.40,33.80,2.70,50.70,55.50,44.50,60.50,1.10,0.60,0.30,7.60,0.00,0.40,20.00,9.50,6.00,12.10,58.40,20.40,98.20,1.80,1.90,4.00,7.00,87.10,260000.00,22.20,9.90,10.70,0.80,9.70,33.90,12.70,9.00,11.00,7.90,81.10,78.80,13.60,7.60,66.40,30.00,3.50,0.10,0.00,0.40,3.80,25665
E01003126,Lambeth 008D,8.70,73.63,9.80,11.60,14.30,20.60,31.20,22.30,52.00,6.30,4.90,33.70,3.10,48.00,52.30,47.70,62.10,0.70,0.30,0.10,7.50,0.30,0.40,20.10,8.50,5.30,16.30,47.80,29.80,98.80,1.20,0.60,3.40,2.00,94.00,215000.00,18.70,11.50,11.30,0.80,7.00,36.60,14.10,9.10,6.20,7.60,86.20,83.30,11.50,5.20,69.10,25.10,5.30,0.50,0.00,0.40,6.30,27649
E01003128,Lambeth 008E,11.90,74.08,8.70,8.90,11.60,19.60,39.00,20.90,48.50,8.10,4.10,36.40,2.90,51.50,51.40,48.60,60.40,0.80,0.50,0.10,11.50,0.00,0.30,20.50,6.10,2.60,13.30,58.00,20.80,99.10,0.90,0.70,0.30,1.20,97.80,205000.00,21.40,10.60,11.40,0.80,8.80,30.20,16.90,7.80,6.20,7.70,86.10,82.90,10.50,6.60,73.50,24.50,1.80,0.00,0.20,0.30,5.90,24560
E01003046,Lambeth 009A,14.30,68.87,9.50,12.40,9.70,24.10,37.60,16.30,31.50,8.30,2.60,55.00,2.60,68.50,55.40,44.60,62.30,0.70,0.00,0.10,8.30,0.30,1.10,17.40,9.90,3.50,10.20,73.10,12.50,98.80,1.20,0.50,1.50,4.40,93.60,195000.00,19.10,13.20,14.10,1.30,10.90,28.50,12.80,10.50,6.40,7.10,86.50,82.70,11.80,5.50,71.20,26.40,2.20,0.10,0.10,0.30,4.10,23477
E01003048,Lambeth 009B,16.80,66.67,12.10,14.00,7.60,26.20,38.60,13.60,27.80,8.00,3.20,56.70,4.10,72.20,52.50,47.50,62.70,0.40,0.20,0.10,11.70,0.20,0.30,16.30,8.20,2.00,6.10,75.40,11.10,99.20,0.80,2.10,2.30,3.60,92.00,147000.00,21.30,14.10,12.90,1.50,11.20,25.20,13.80,11.20,7.30,6.90,85.80,81.60,11.80,6.50,70.00,26.00,3.40,0.40,0.10,0.30,4.80,22780
E01003075,Lambeth 009C,13.30,67.24,7.80,12.00,10.20,27.20,37.70,13.00,32.90,8.30,6.20,47.90,4.70,67.10,51.60,48.40,58.40,0.90,0.60,0.10,11.10,0.00,0.50,19.60,8.80,2.90,12.00,69.20,14.60,97.70,2.30,0.10,2.00,4.90,93.00,360000.00,25.70,13.10,14.40,1.20,9.60,23.00,12.90,11.30,7.50,7.70,84.80,79.40,13.40,7.20,69.60,26.70,3.50,0.10,0.00,0.30,4.20,22402
E01003182,Lambeth 009D,9.10,75.08,18.10,11.70,14.60,16.30,33.20,24.30,49.00,9.00,5.20,34.10,2.70,51.00,59.90,40.10,50.30,0.80,0.30,0.20,8.70,0.00,0.40,29.40,9.90,6.40,21.00,45.80,24.60,95.50,4.50,3.40,6.00,15.50,74.90,274750.00,14.60,11.20,11.10,0.50,10.90,39.90,11.80,11.40,6.40,7.20,86.40,84.70,10.80,4.60,61.40,31.20,5.80,1.50,0.00,0.50,2.90,31326
E01003188,Lambeth 009E,14.20,72.78,8.10,9.60,11.20,22.70,34.70,21.80,34.20,8.20,6.30,48.20,3.10,65.80,57.90,42.10,56.20,1.50,0.10,0.10,10.70,0.10,0.60,21.70,8.90,3.10,15.20,67.50,12.50,98.20,1.80,3.50,8.90,24.30,63.30,200000.00,22.10,10.80,11.30,1.50,10.60,31.40,12.20,8.50,8.40,7.80,83.70,78.40,15.30,6.30,65.00,29.60,4.20,0.90,0.40,0.40,3.80,24381
E01003088,Lambeth 010A,8.60,79.36,9.40,9.00,15.90,16.60,28.20,30.40,54.40,8.90,5.30,29.30,2.00,45.60,57.50,42.50,53.50,0.60,0.40,0.30,7.40,0.20,0.60,27.30,9.90,6.90,18.90,43.10,29.20,98.70,1.30,2.30,1.60,20.10,75.90,389000.00,13.00,7.80,9.10,0.80,8.90,51.40,9.00,8.00,5.60,5.70,88.70,86.10,9.90,4.00,67.30,28.40,4.10,0.30,0.00,0.40,5.20,31258
E01003093,Lambeth 010B,11.70,67.86,7.40,12.30,11.60,29.00,28.30,18.80,37.20,10.20,5.90,42.80,3.90,62.80,56.20,43.80,56.70,1.20,0.50,0.00,12.30,0.40,0.60,19.50,8.70,3.60,6.20,68.20,13.40,99.20,0.80,0.30,0.80,1.80,97.10,228750.00,18.90,10.30,13.00,1.50,10.50,31.60,14.20,9.70,6.30,7.20,86.50,83.00,11.70,5.30,69.80,27.90,2.20,0.10,0.00,0.30,6.60,25171
